sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus,errors
EE006,,Default,simple,Earring,base,"Asymmetrical Baguette Hoops","Abstract arrangement of baguette with very distintive combination of crystal and rose gold.                                                                             ","<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone , Cubic Zirconia</li></ul>",50,1,taxable,"Catalog, Search",4550,,,,asymmetrical-baguette-hoops,,,,img_4484e-min.jpg,,img_4484e-min.jpg,,img_4484e-min.jpg,,img_4484e-min.jpg,,"7/24/19, 4:41 PM","7/25/19, 2:04 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brk_page_type=Type 1,rg_featured=No",10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,img_4484e-min.jpg,",,",,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
EE007,,Default,simple,Earring,base,"Milky Diamond Earring","Milky Diamond Earring with diamond shape  arrangments in rose gold finish and oval crystal with opaque and grey beads.                                                ","<ul><li>Plating - Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>",70,1,taxable,"Catalog, Search",2150,,,,milky-diamond-earring,,,,img_4582e-min.jpg,,img_4582e-min.jpg,,img_4582e-min.jpg,,img_4582e-min.jpg,,"7/24/19, 4:41 PM","7/29/19, 5:43 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brk_page_type=Type 1,rg_featured=Yes",10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,img_4582e-min.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
EE008,,Default,simple,Earring,base,"Azaleas Tassel Earring"," Azaleas tassel earrings with dramatic chain tassels. Handcrafted in Gunmetal plating with grey and crystal stones.                                                                                            ","<ul><li>Plating- ElectroplatedGunmetal                                              </li><li>Stone-Faceted Foiled Stone</li></ul>",125,1,taxable,"Catalog, Search",4599,,,,azaleas-tassel-earring,,,,img_4741e-min.jpg,,img_4741e-min.jpg,,img_4741e-min.jpg,,img_4741e-min.jpg,,"7/24/19, 4:41 PM","7/29/19, 5:55 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brk_page_type=Type 1,rg_featured=Yes",10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,img_4741e-min.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
EE009,,Default,simple,Earring,base,"Abstract Adore Earring","This abstract earring is handcrafted with small metallic flower with pipe arranged in an abstract way with gunmetal spikes.                                                               ","<ul><li>Plating- Electroplated Gunmetal                                               </li><li>Stone-Faceted Foiled Stone</li></ul>",78,1,taxable,"Catalog, Search",3449,,,,abstract-adore-earring,,,,img_4693e-min.jpg,,img_4693e-min.jpg,,img_4693e-min.jpg,,img_4693e-min.jpg,,"7/24/19, 4:41 PM","7/25/19, 7:17 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brk_page_type=Type 1,rg_featured=No",10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,img_4693e-min.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
